scen_idx,pi,J,Oel,Ocmp,L,P_TOT,DW,flaginf
1,0.0270270270270271,6964.37899021262,0,0.181795511692212,6964.56078572431,15910.6764919122,9.64049151501221,1
2,0.0270270270270271,6993.63927960964,0,0,6993.63927960964,16508.1010050731,0,0
3,0.0270270270270271,7413.73073320621,0,0,7413.73073320621,17894.8208568706,0,0
4,0.0270270270270271,7491.77180811047,0,0,7491.77180811047,19246.8882231164,0,0
5,0.0270270270270271,8012.74490640488,0,0,8012.74490640488,20047.3135320793,0,0
6,0.0270270270270271,8324.71220781107,0,0,8324.71220781107,21965.0625653845,0,0
7,0.0270270270270271,8664.29943446054,0,0.194708613299884,8664.49414307384,24349.1497841498,14.9505769715464,1
8,0.0270270270270271,9546.885957485,0,0.581419021412113,9547.46737650641,26954.7186682357,20.9665851951852,1
9,0.0270270270270271,10319.5832861525,0,0,10319.5832861525,29932.5288436245,0,0
10,0.0270270270270271,9014.02620920403,0,0.304196142242364,9014.33040534627,25091.1775923579,9.95876560920957,1
11,0.0270270270270271,8647.32966029955,0,0,8647.32966029955,24162.7163670699,0,0
12,0.0270270270270271,9211.89477318907,0,0.129117752051054,9212.02389094112,26635.3621771487,16.6393014199963,1
13,0.0270270270270271,8705.49368787389,0,0,8705.49368787389,25011.8754810422,0,0
14,0.0270270270270271,8122.91752213591,0,0,8122.91752213591,22482.490609209,0,0
15,0.0270270270270271,8863.67384658404,0,0.107650940204532,8863.78149752425,24644.2143658969,3.70032145680981,1
16,0.0270270270270271,8738.20918143198,0,1.54288176744939,8739.75206319943,24216.4042877182,89.5113399094535,1
17,0.0270270270270271,8840.63652388515,0,0.205989159349002,8840.8425130445,24508.4104757585,7.76698234449064,1
18,0.0270270270270271,8829.74678317333,0,0,8829.74678317333,25028.2780430873,0,0
19,0.0270270270270271,9362.93616696331,0,0.488332788659849,9363.42449975197,26657.3349577696,18.4129696909475,1
20,0.0270270270270271,8807.93811403997,0,0,8807.93811403997,25230.2086962123,0,0
21,0.0270270270270271,8579.93827644877,0,0.692897908340706,8580.63117435712,23905.258487796,40.198945573494,1
22,0.0270270270270271,9687.52290898836,0,0.178443644694086,9687.70135263305,26993.6032281602,22.9958897470085,1
23,0.0270270270270271,9619.86195555401,0,0,9619.86195555401,27407.9861591666,0,0
24,0.0270270270270271,9713.97938501375,0,0.376213978903375,9714.35559899266,28629.4546323909,55.6666725510084,1
25,0.0270270270270271,9989.3755865994,0,0.250359547449829,9989.62594614685,29242.5832102156,39.9221423493283,1
26,0.0270270270270271,9705.26088245478,0,0.281017694426075,9705.54190014921,29168.2644343286,36.2145254825918,1
27,0.0270270270270271,8899.28947355456,0,0.152936406677537,8899.44240996124,24833.2090792281,8.87271012689083,1
28,0.0270270270270271,8713.57186616116,0,0.116617654999584,8713.68848381616,25062.0796298921,1.73269421074941,1
29,0.0270270270270271,9907.26159873736,0,0,9907.26159873736,29104.6566246116,0,0
30,0.0270270270270271,9346.86302995397,0,0.80765779702007,9347.67068775099,26958.4752445928,119.691986703044,1
31,0.0270270270270271,9101.81164014532,0,0.110466196142211,9101.92210634146,26431.2651970288,14.2356903302025,1
32,0.0270270270270271,9295.31364504266,0,0.684605874548493,9295.99825091721,26799.1414360355,107.758489756422,1
33,0.0270270270270271,8682.73685699217,0,0,8682.73685699217,25677.7912143203,0,0
34,0.0270270270270271,8102.90337080884,0,0.365465416772871,8103.26883622562,24627.0998556012,19.2045080991159,1
35,0.0270270270270271,8069.87011688023,0,0,8069.87011688023,25218.8079233883,0,0
36,0.0270270270270271,8716.25995615956,0,0,8716.25995615956,26910.4889119396,0,0
37,0.0270270270270271,8797.1687322641,0,0.0415148501091752,8797.21024711421,27600.5453081224,1.56534988953389,0
