scen_idx,pi,J,Oel,Ocmp,L,P_TOT,DW,flaginf
1,0.0270270270270271,8682.25984468923,0,17.2423602094765,8699.50220489871,17528.4443401482,902.864355394583,1
2,0.0270270270270271,8473.2078881689,0,9.03188779663428,8482.23977596553,17976.5854854958,877.803497806161,1
3,0.0270270270270271,8986.34174737896,0,7.47936975487362,8993.82111713384,19456.0966143205,1292.44646569098,1
4,0.0270270270270271,9136.26804643259,0,10.9724563830173,9147.24050281561,20776.7240893537,839.82862822013,1
5,0.0270270270270271,9458.07409092615,0,10.5411672843114,9468.61525821047,21136.5099872507,1524.13561848589,1
6,0.0270270270270271,9505.16792869459,0,6.18444412493688,9511.35237281952,22303.3396746769,1219.89413354389,1
7,0.0270270270270271,9865.62134435719,0,6.39989117686229,9872.02123553406,24175.8519168606,1071.76969689529,1
8,0.0270270270270271,10043.7911245253,0,5.69181294453267,10049.4829374698,24742.6653205923,1230.65509215837,1
9,0.0270270270270271,10750.6625668292,0,6.00303840109556,10756.6656052303,26237.0958757676,1117.97777880035,1
10,0.0270270270270271,10062.1844880534,0,8.95182209623759,10071.1363101496,24356.6452812175,770.640640674088,1
11,0.0270270270270271,9587.39280564356,0,9.15022727651945,9596.54303292008,23333.2482879402,992.210898446345,1
12,0.0270270270270271,10059.8735104064,0,10.4993324676675,10070.372842874,25131.2667312459,1210.7019064463,1
13,0.0270270270270271,10274.6454576043,0,8.82754463325499,10283.4730022376,25432.4019801035,1123.08294355927,1
14,0.0270270270270271,9720.76138546295,0,11.0707132684155,9731.83209873137,23159.293435708,817.021005432807,1
15,0.0270270270270271,9692.55842646554,0,7.85245899049303,9700.41088545604,23084.2439625926,1154.88603812319,1
16,0.0270270270270271,9521.64810661397,0,9.85206270785503,9531.50016932182,23126.0466503516,1430.5095556009,1
17,0.0270270270270271,9879.72904923981,0,6.82054763584944,9886.54959687566,23607.236659757,977.189953866431,1
18,0.0270270270270271,9805.02943059935,0,7.03296779389788,9812.06239839325,24355.808851248,1004.58763432984,1
19,0.0270270270270271,10247.4651048649,0,10.7375482590577,10258.202653124,25498.4146291935,1038.57907077095,1
20,0.0270270270270271,10347.9006523152,0,6.93567612159178,10354.8363284368,25700.2619602771,1170.58132122377,1
21,0.0270270270270271,10200.9871386079,0,8.63928943855867,10209.6264280464,24639.6070942189,1084.11996213284,1
22,0.0270270270270271,10169.9397001668,0,11.2092831250426,10181.1489832919,24844.4862191454,1280.43949046642,1
23,0.0270270270270271,10324.5582261276,0,7.78069520047618,10332.3389213281,25570.5844367087,1235.44549561791,1
24,0.0270270270270271,10459.4004104651,0,6.7750212713282,10466.1754317365,26081.9978059496,949.616179030112,1
25,0.0270270270270271,10302.7470846791,0,13.2097262435055,10315.9568109227,26077.1596844601,1710.61384789398,1
26,0.0270270270270271,10413.3182329321,0,8.4602008704084,10421.7784338026,26529.7789300215,1086.00234374034,1
27,0.0270270270270271,10451.8659298665,0,7.19345606567337,10459.0593859321,25417.260726118,1364.59440325161,1
28,0.0270270270270271,10186.5141649375,0,7.1057199751479,10193.6198849127,25125.523477153,917.498669516522,1
29,0.0270270270270271,10403.2473340862,0,7.81839994864138,10411.0657340348,25963.0563296807,904.67443851388,1
30,0.0270270270270271,10157.1397880324,0,8.06681501013128,10165.2066030426,25502.5879161944,1257.06560261598,1
31,0.0270270270270271,9795.49572089255,0,6.94422387643311,9802.43994476898,24532.8013652411,1443.56011989479,1
32,0.0270270270270271,10046.957025492,0,10.1940099793649,10057.1510354714,24813.778354486,1474.14087472413,1
33,0.0270270270270271,9647.34792476767,0,9.12914498297527,9656.47706975064,24546.4298820003,1451.93326904025,1
34,0.0270270270270271,9656.17487490712,0,9.43089106123507,9665.60576596835,25367.9204458896,900.896868425035,1
35,0.0270270270270271,9582.86400942509,0,7.04672090534524,9589.91073033043,25739.1726363716,1117.2347659537,1
36,0.0270270270270271,9503.01388026502,0,7.35708373803919,9510.37096400306,25578.4594398014,1285.57033231969,1
37,0.0270270270270271,9743.57208961703,0,9.45156011724667,9753.02364973428,26318.6053706142,1144.08033873469,1
