scen_idx,pi,J,Oel,Ocmp,L,P_TOT,DW,flaginf
1,0.0270270270270271,1948.83977353009,0,17.1364583546259,1965.97623188472,10451.9666666667,901.616221615913,1
2,0.0270270270270271,2082.07057084325,0,9.03188779663428,2091.10245863989,11285.3,877.403231339991,1
3,0.0270270270270271,2329.77322348504,0,7.47936975487362,2337.25259323991,12478.0708333333,1291.19833191231,1
4,0.0270270270270271,2462.95721766121,0,10.9724563830173,2473.92967404423,13780.425,838.652949336242,1
5,0.0270270270270271,2735.56268999256,0,10.5411672843114,2746.10385727687,14089.425,1523.35354798608,1
6,0.0270270270270271,3068.19028660549,0,6.18444412493688,3074.37473073043,15581.4666666667,1218.67989161563,1
7,0.0270270270270271,3383.40609561591,0,6.32183054098853,3389.72792615689,17400.0916666667,1070.82658977036,1
8,0.0270270270270271,3588.08977194114,0,5.69181294453267,3593.78158488567,17992.1333333333,1229.56998189296,1
9,0.0270270270270271,4082.96506706597,0,5.95947206873388,4088.92453913471,19294.175,1117.40748203,1
10,0.0270270270270271,3563.36902061591,0,8.8697764225986,3572.2387970385,17577.5916666667,769.715647272855,1
11,0.0270270270270271,3135.28127236028,0,9.08910711561886,3144.3703794759,16562.3833333333,991.107674457239,1
12,0.0270270270270271,3556.91370417121,0,10.4993324676675,3567.41303663888,18304.2791666667,1210.12517393713,1
13,0.0270270270270271,3647.75498471726,0,8.82754463325499,3656.58252935052,18496.8,1122.27773943298,1
14,0.0270270270270271,3100.82531018519,0,11.0707132684155,3111.8960234536,16222.1333333333,816.223379149549,1
15,0.0270270270270271,3139.06626805556,0,7.81770009375126,3146.88396814931,16198.8,1154.24152191319,1
16,0.0270270270270271,2992.61724219329,0,9.76513760916833,3002.38237980246,16272.5916666667,1429.56644847597,1
17,0.0270270270270271,3216.73066546875,0,6.76965256708689,3223.50031803584,16612.675,976.446097702153,1
18,0.0270270270270271,3530.47244292659,0,7.03296779389788,3537.50541072049,17796.8,1003.33950055117,1
19,0.0270270270270271,3742.00419175265,0,10.7375482590577,3752.7417400117,18700.1333333333,1037.93455456095,1
20,0.0270270270270271,3580.32156390708,0,6.93567612159178,3587.25724002867,18595.7166666667,1169.45998351097,1
21,0.0270270270270271,3527.32166112682,0,8.63928943855867,3535.96095056538,17669.0916666667,1083.42344034872,1
22,0.0270270270270271,3687.63831112806,0,11.2092831250426,3698.8475942531,18071.1541666667,1279.761082406,1
23,0.0270270270270271,3846.46419561053,0,7.78069520047618,3854.24489081101,18809.0708333333,1234.52984460458,1
24,0.0270270270270271,3887.83237843337,0,6.7750212713282,3894.6073997047,19210.8416666667,949.039446520937,1
25,0.0270270270270271,3805.65852957589,0,13.2097262435055,3818.8682558194,19274.425,1710.32402831485,1
26,0.0270270270270271,3813.3798337963,0,8.39482433804337,3821.77465813434,19607.1333333333,1085.62662673669,1
27,0.0270270270270271,3762.17550347222,0,7.14670623136747,3769.32220970359,18430.05,1363.34626947294,1
28,0.0270270270270271,3612.08289446305,0,7.05409264277263,3619.13698710582,18264.7375,916.822597053076,1
29,0.0270270270270271,3999.04597506366,0,7.81839994864138,4006.8643750123,19275.5083333333,903.641333822581,1
30,0.0270270270270271,3630.83784542328,0,8.06681501013128,3638.90466043341,18658.8833333333,1255.96215568123,1
31,0.0270270270270271,3315.87869883929,0,6.94422387643311,3322.82292271572,17717.05,1442.95183113218,1
32,0.0270270270270271,3409.0698718349,0,10.1940099793649,3419.26388181427,17830.6541666667,1473.39468296288,1
33,0.0270270270270271,3054.8229948669,0,9.12914498297527,3063.95213984987,17531.8416666667,1451.15318542858,1
34,0.0270270270270271,3150.30147839865,0,9.36815758366743,3159.66963598231,18450.5916666667,900.387919616692,1
35,0.0270270270270271,2966.72145669891,0,7.04672090534524,2973.76817760426,18654.175,1115.98663217503,1
36,0.0270270270270271,3134.90637428737,0,7.35708373803919,3142.26345802541,18786.8833333333,1284.99359981051,1
37,0.0270270270270271,3290.78811687583,0,9.45156011724667,3300.23967699307,19444.5916666667,1142.99289287231,1
